영화제목,평점,장르,국가,러닝타임
레옹	(110),9.38,"범죄, 액션, 드라마","프랑스, 미국",133분
터미네이터	2	(34),9.38,"SF, 액션, 스릴러","미국, 프랑스",137분
쇼생크	탈출	(66),9.38,"드라마, 범죄",미국,142분
센과	치히로의	행방불명,9.37,"애니메이션, 판타지",일본,126분
빽	투	더	퓨쳐,9.37,"SF, 코미디",미국,120분
죽은	시인의	사회,9.37,드라마,미국,128분
인생은	아름다워,9.37,"드라마, 코미디",이탈리아,122분
토이	스토리	3,9.36,"애니메이션, 모험",미국,102분
월-E,9.36,"애니메이션, SF",미국,104분
반지의	제왕:	왕의	귀환,9.36,"판타지, 모험","뉴질랜드, 미국",199분
나	홀로	집에,9.36,"모험, 범죄",미국,105분
매트릭스,9.35,"SF, 액션",미국,136분
에이리언	2,9.35,"SF, 공포",미국,137분
포레스트	검프	(42),9.35,"드라마, 코미디",미국,142분
사운드	오브	뮤직,9.35,"뮤지컬, 드라마",미국,170분
살인의	추억,9.35,"범죄, 미스터리, 스릴러",한국,132분
굿바이	마이	프랜드	(90),9.35,드라마,미국,97분
오페라의	유령	:	25주년	특별	공연,9.35,공연실황,영국,175분
미세스	다웃파이어,9.35,"코미디, 가족",미국,125분
울지마	톤즈,9.34,다큐멘터리,한국,91분
라이언	일병	구하기,9.34,"전쟁, 액션",미국,170분
여인의	향기,9.34,"드라마, 코미디",미국,157분
반지의	제왕:	두	개의	탑,9.34,"판타지, 모험","뉴질랜드, 미국",177분
헬프,9.34,드라마,미국,146분
세	얼간이,9.34,"코미디, 드라마",인도,170분
드래곤	길들이기	(50),9.34,"애니메이션, 모험",미국,98분
패왕별희,9.33,드라마,"중국, 홍콩",170분
소원,9.33,드라마,한국,122분
언터처블:	1%의	우정,9.33,"코미디, 드라마",프랑스,112분
오세암,9.3,"애니메이션, 드라마",한국,75분
블라인드	사이드,9.3,드라마,미국,128분
엽기적인	그녀,9.3,"코미디, 멜로/로맨스",한국,122분
사랑은	비를	타고,9.3,"뮤지컬, 멜로/로맨스",미국,103분
피아니스트,9.3,"드라마, 전쟁","프랑스, 독일, 폴란드",148분
혹성탈출,9.3,"SF, 액션, 드라마",미국,100분
아이	엠	샘,9.3,드라마,미국,131분
록키,9.3,"드라마, 액션",미국,119분
더	록,9.29,액션,미국,131분
영웅:	샐러멘더의	비밀,9.29,액션,"러시아 연방, 미국, 한국",102분
알라딘,9.29,"애니메이션, 뮤지컬, 코미디",미국,90분
일급	살인,9.29,"드라마, 범죄",미국,124분
위대한	독재자,9.29,코미디,미국,126분
또	하나의	약속,9.29,드라마,한국,120분
클레멘타인,9.29,"액션, 드라마","한국, 미국",100분
쥬라기	공원	3D,9.29,"SF, 액션, 모험",미국,123분
반지의	제왕	-	반지	원정대,9.29,"판타지, 모험","뉴질랜드, 미국",178분
천국의	아이들,9.29,"드라마, 코미디",이란,87분
로미오와	줄리엣,9.28,"드라마, 멜로/로맨스","영국, 이탈리아",124분
집으로	가는	길,9.28,"드라마, 멜로/로맨스",중국,89분
토이	스토리,9.28,"애니메이션, 코미디",미국,77분
나	홀로	집에	2	-	뉴욕을	헤매다,9.28,"모험, 액션, 범죄",미국,115분
인생,9.28,드라마,"중국, 대만",125분
라따뚜이,9.28,"코미디, 가족",미국,115분
보루토	-	나루토	더	무비,9.28,애니메이션,일본,95분
뮬란,9.28,"애니메이션, 가족",미국,88분
취권	2,9.28,"액션, 코미디",홍콩,100분
말할	수	없는	비밀,9.28,"멜로/로맨스, 판타지",대만,101분
모노노케	히메,9.33,"애니메이션, 모험",일본,135분
아마데우스,9.33,드라마,미국,180분
클래식,9.33,"멜로/로맨스, 드라마",한국,132분
글래디에이터,9.33,"액션, 드라마","미국, 영국",154분
타잔,9.33,"애니메이션, 가족",미국,88분
그대를	사랑합니다,9.33,드라마,한국,118분
아이언	자이언트,9.32,"애니메이션, SF",미국,86분
라푼젤,9.32,"애니메이션, 코미디, 로맨스",미국,100분
빌리	엘리어트	뮤지컬	라이브,9.32,공연실황,영국,179분
집으로...,9.32,"드라마, 가족",한국,87분
세상에서	가장	아름다운	이별,9.32,"드라마, 가족",한국,125분
모던	타임즈,9.32,코미디,미국,87분
쉰들러	리스트,9.31,"드라마, 전쟁",미국,192분
프리퀀시,9.31,"범죄, 드라마, SF",미국,117분
바이센테니얼	맨	(70),9.31,"SF, 드라마",미국,133분
서유기	2	-	선리기연,9.31,"코미디, 액션, 모험",홍콩,99분
코러스,9.31,드라마,"프랑스, 스위스, 독일",97분
스피릿,9.31,"애니메이션, 서부",미국,75분
캐스트	어웨이,9.31,"드라마, 모험",미국,143분
해리	포터와	죽음의	성물	-	2부,9.31,"모험, 판타지","영국, 미국",131분
다크	나이트,9.3,"액션, 범죄",미국,152분
굿	윌	헌팅,9.3,드라마,미국,126분
업	(96),9.3,"애니메이션, 가족, 모험",미국,101분
시네마	천국,9.3,"드라마, 멜로/로맨스","프랑스, 이탈리아",124분
트루먼	쇼,9.3,"코미디, 드라마, SF",미국,103분
"지금,	만나러	갑니다",9.3,"멜로/로맨스, 판타지",일본,118분
내	이름은	칸,9.3,드라마,인도,127분
인어	공주,9.3,"애니메이션, 가족",미국,83분
특전	유보트,9.3,"드라마, 전쟁",독일(구 서독),210분
우리들의	일그러진	영웅,9.27,드라마,한국,119분
바람,9.27,"드라마, 액션, 가족",한국,107분
맨발의	꿈,9.27,드라마,"한국, 일본",121분
시간을	달리는	소녀,9.27,"애니메이션, 드라마, 판타지",일본,97분
주먹왕	랄프,9.27,"애니메이션, 코미디",미국,108분
미녀와	야수,9.27,"애니메이션, 가족, 드라마",미국,85분
오즈의	마법사,9.27,"가족, 판타지",미국,112분
지상의	별처럼,9.27,드라마,인도,163분
니모를	찾아서	3D,9.27,"애니메이션, 코미디, 모험",미국,107분
더	코브:	슬픈	돌고래의	진실,9.27,다큐멘터리,미국,91분
빌리	엘리어트	(84),9.26,"드라마, 가족, 코미디","영국, 프랑스",110분
쥬만지,9.26,"모험, 판타지, 가족",미국,104분
공동경비구역	JSA,9.26,"드라마, 전쟁",한국,110분
라이온	킹,9.26,"애니메이션, 모험, 드라마,",미국,89분
터미네이터,9.26,"SF, 액션",미국,108분
천녀유혼,9.26,"판타지, 공포",홍콩,98분
에이	아이,9.26,"SF, 드라마, 판타지",미국,144분
트루맛쇼,9.26,다큐멘터리,한국,70분
마이클	잭슨의	디스	이즈	잇,9.26,다큐멘터리,미국,111분
동방불패,9.25,"액션, 드라마",홍콩,107분
하이	스쿨	뮤지컬:	졸업반,9.25,"뮤지컬, 코미디, 멜로/로맨스",미국,111분
폴리스	스토리,9.25,"액션, 코미디",홍콩,99분
에이트	빌로우,9.25,"모험, 드라마, 액션",미국,120분
도가니,9.25,드라마,한국,125분
본	얼티메이텀,9.25,"액션, 미스터리, 스릴러","미국, 독일",115분
가위손,9.25,"판타지, 멜로/로맨스",미국,100분
토이	스토리	2	(30),9.25,"애니메이션, 모험",미국,92분
친정엄마,9.25,드라마,한국,108분
고	녀석	맛나겠다,9.25,"애니메이션, 가족, 모험",일본,89분
117	 브레이브하트,9.24,"액션, 드라마, 전쟁",미국,177분
명탐정	코난:	베이커가의	망령,9.24,애니메이션,일본,106분
몬스터	주식회사	3D,9.24,"애니메이션, 가족, 모험",미국,92분
"님아,	그	강을	건너지	마오",9.24,다큐멘터리,한국,86분
인크레더블,9.24,"애니메이션, 액션, 코미디",미국,121분
신데렐라	맨,9.24,"드라마, 멜로/로맨스",미국,144분
엽문,9.24,"액션, 드라마",홍콩,106분
바람계곡의	나우시카,9.24,"애니메이션, SF",일본,116분
오아시스,9.24,드라마,한국,132분
이집트	왕자,9.24,"애니메이션, 가족, 모험",미국,99분
잉여들의	히치하이킹,9.24,다큐멘터리,한국,105분
명탐정	코난:	천공의	난파선,9.23,"애니메이션, 모험, 가족",미국,103분
리멤버	타이탄,9.23,"가족, 드라마",미국,113분
아기공룡	둘리	-	얼음별	대모험,9.23,"애니메이션, 가족,모험",한국,80분
바람과	함께	사라지다,9.23,"드라마, 전쟁, 멜로/로맨스",미국,222분
해바라기,9.23,"액션, 드라마",한국,116분
"광해,	왕이	된	남자",9.23,드라마,한국,131분
킹콩을	들다,9.23,드라마,한국,120분
피아니스트의	전설,9.23,드라마,이탈리아,123분
늑대와	춤을,9.23,"서부, 드라마, 모험","미국, 영국",183분
